algorithm,date,iteration,seed,size
ea1p1,20211119181334_245,18980,16373420141818330,100
ea1p1,20211119181334_269,9521,16373420142460920,100
ea1p1,20211119181334_314,18312,16373420142704980,100
ea1p1,20211119181334_381,28421,16373420143153880,100
ea1p1,20211119181334_597,30543,16373420145237190,100
ea1p1,20211119181334_637,15154,16373420146177850,100
ea1p1,20211119181334_914,222281,16373420146378110,100
ea1p1,20211119181335_056,104306,16373420149155310,100
ea1p1,20211119181335_692,501685,16373420150573240,100
ea1p1,20211119181336_54,321606,16373420156936640,100
ea1p1,20211119181336_643,70027,16373420165411900,100
ea1p1,20211119181337_26,126381,16373420169135270,100
ea1p1,20211119181337_298,6696,16373420172806750,100
ea1p1,20211119181337_308,3689,16373420172988620,100
ea1p1,20211119181338_019,255723,16373420173087750,100
ea1p1,20211119181338_16,13017,16373420181255880,100
ea1p1,20211119181338_554,30798,16373420184517930,100
ea1p1,20211119181338_757,78922,16373420185628030,100
ea1p1,20211119181338_806,11643,16373420187764570,100
ea1p1,20211119181338_954,62294,16373420188071540,100
ea1p1,20211119181338_958,2418,16373420189554510,100
ea1p1,20211119181338_996,8450,16373420189591920,100
ea1p1,20211119181339_031,28574,16373420189972652,100
ea1p1,20211119181339_237,27528,16373420192045260,100
ea1p1,20211119181339_241,2526,16373420192386752,100
ea1p1,20211123100832_112,307512,16376585115947868,100
ea1p1,20211123100832_269,3336,16376585122073550,100
ea1p1,20211123100832_625,105151,16376585122704502,100
ea1p1,20211123100832_712,5527,16376585126957820,100
ea1p1,20211123100832_825,8676,16376585127997810,100
ea1p1,20211123100850_512,69955,16376585303821120,100
ea1p1,20211123100850_534,5530,16376585305143520,100
ea1p1,20211123100850_568,7752,16376585305385758,100
ea1p1,20211123100850_702,29725,16376585306636340,100
ea1p1,20211123100900_674,23316,16376585406048340,100
ea1p1,20211123100912_535,10143,16376585524963000,100
ea1p1,20211123100912_544,5994,16376585525360128,100
ea1p1,20211123100912_586,33256,16376585525450540,100
